city,name,location,airconditioning,freeparking,hairdryer,heating,hostedbyabusiness,kitchen,pool,washer,wifi,roomtype,detailed_location,guests,bedrooms,beds,bathrooms,discountedprice,score,price,reviewnumber,link,air_conditioning,baby_bath,baby_monitor,babysitter_recommendations,baking_sheet,barbecue_utensils,bathtub,beach_essentials,beachfront,bed_linens,bread_maker,breakfast,building_staff,cable_,carbon_monoxide_alarm,changing_table,children,cleaning_before_checkout,coffee_maker,cooking_basics,crib,darkening_shades,dishes_and_silverware,dishwasher,dryer,elevator,essentials,ethernet_connection,extra_pillows_and_blankets,fire_extinguisher,fireplace_guards,first_aid_kit,free_parking_on_premises,free_street_parking,friendly_workspace,game_console,garden_or_backyard,gym,hair_dryer,hangers,heating.1,high_chair,host_greets_you,hot_tub,hot_water,in,indoor_fireplace,iron,keypad,kitchen.1,lake_access,laptop,lock_on_bedroom_door,lockbox,long_term_stays_allowed,luggage_dropoff_allowed,microwave,n_,outlet_covers,oven,pack_,paid_parking_off_premises,paid_parking_on_premises,patio_or_balcony,piano,pocket_wifi,pool.1,private_entrance,private_living_room,refrigerator,room,s_books_and_toys,s_dinnerware,shampoo,shower_gel,single_level_home,ski,smart_lock,smoke_alarm,stair_gates,stove,table_corner_guards,unavailable,washer.1,waterfront,wifi.1,window_guards,reviews,response_time,response_rate,languages
Rome,LUXURY APT NEW OPENING VIA DEL BABUINO ,Roma,1,0,0,0,0,1,0,0,1,Entire apartment,Roma Centro,4.0,1,2.0,1,71.0,4.71,103,42.0,http://airbnb.com/rooms/36630988?location=Rome%2C%20Itali%C3%AB&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=05620973-771a-4745-8fe8-df011c35e6ed,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,2,0,0,1,0,"['JohnFebruary 2020Everything we had hoped for and more!**', '**EmiliaDecember 2019The location was fabulous, a 5 minute walk from the Spanish steps. Lots of great restaurants very near to the house. Giuseppe was a great host, allowing us to drop our bags off early before check in. He also provided pastries upon check in that we enjoyed with coffee for breakfast. You won’t regret booking this place!**', '**IlyaDecember 2019Place is located right in the center near popolo square. \nOnly minutes walking from the metro and some good places to snack. Unfortunately I think the restaurants are either too expensive or for tourists only without authentic good food.\nThere is somewhat of noise at night outside the windows from tourists lately but otherwise quiet.\nVery good value for the money.**', '**RaulNovember 2019It’s a good place for a small family near or easy access to everything**', '**LouiseNovember 2019Great apartment in a great location. 20 minute walks to major sites. Even quicker by Metro which was very convenient. Close to supermarket. So many lovely restaurants on side streets near the apartment.  The apartment is on a lively street but it is quiet at night. \n\nWe booked a day trip to Pompeii with City Wonders that conveniently left from Piazza Del Popolo, less than 5 minutes from the apartment. \n\nGiuseppe was a great host and very accommodating.**', '**MichelleOctober 2019The location is perfect for everything to do Rome. The host is a great communicator and arranged for our transportation from the airport. Just wonderful.  We would definitely stay again.**', '**']",within an hour,100,"['English', ' Français', ' Italiano', ' Español']"
Sydney,Benalong Apartment  at Gladesville ,Gladesville,0,1,0,0,0,1,0,1,1,Entire apartment,Gladesville,4.0,1,2.0,1,111.0,5.0,119,25.0,http://airbnb.com/rooms/24732829?location=Bangkok%20Thailand&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=15b35a31-4232-47c0-b11d-e5476fdae564,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,"['PamelaJune 2019Beautiful place with lovely views!  So cozy and comfortable with gracious hospitality!**', '**NicolasJune 2020Super pleased. Great host. Great place. Amazing stay !**', '**NicolasMay 2020Only one word for this experience and that is PERFECTION !\n\nI couldn’t ask for anything better thank you so much. Couldn’t be happier with this apartment honestly :)\n\nThank you !**', '**Zhen YiMarch 2020Upon our arrival, we were greeted with a very modern and clean apartment with complimentary fruits, snacks, drinks and is filled with small thoughtful touches around. The place is/looks just as amazing as the listing describes and we felt at home almost immediately.\n\nThe amenities provided were more than plenty for an enjoyable 2 week stay and the balcony offers a great view of the city skyline. While being in a fairly quiet neighborhood, the location of the apartment is very convenient with only a short walk to the supermarket, pharmacy and more.\n\nBeing our first booking on Airbnb, we had a wonderful experience both communicating with Misael and Filipa as well as our stay and would love to return in future trips back to Sydney.Upon our arrival, we were greeted with a very modern and clean apartment with complimentary fruits, snacks, drinks and is filled with small thoughtful touches around. The place is/… read more**', '**MarisaMarch 2020This apartment is a real gem. Located centrally in Gladesville it is a stylish place with great city views. On arrival there are snacks and drinks available which is a nice touch. The apartment is really clean with a great shower and all the amenities and appliances you need for a short or long stay.  The hosts are accessible if you have questions or need anything. The bed is comfortable and it is a safe apartment building. Close to shops, restaurants and transport.  My only suggestions for perfection would be instructions for the appliances and a ceiling fan in the bedroom. A great choice for a fantastic apartment in a nice neighbourhood close to the Sydney CBD.**', '**TessaFebruary 2020The flat is very conveniently located, a few minutes stroll to the shops and main road. It was a very modern, spacious flat, clean and nicely laid out ', ' completely the same as advertised (if not better). The host were very generous to provide complimentary snacks, coffee capsules, drinks etc. It definitely feels like a home away from home. \n\nThe balcony was a true highlight as it is really big and has a very open and phenomenal view of the city skyline. As we were there in the height of summer, having the aircon was amazing. The building and area around the flat was very safe which was important as we had an elderly staying there so it was nice to see everything was very secure. We will definitely look to stay there again should we head to Australia!**', '**']",within a day,100,['English']
San Jose (Costa Rica),Best 10th floor Condo Sabana Mountain+City Views ,San José,0,1,0,0,0,1,1,0,1,Entire apartment,San José,6.0,3,4.0,2.5,63.0,4.8,63,153.0,http://airbnb.com/rooms/19848732?location=San%20Jose%2C%20Costa%20Rica&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=6347b1e3-cf13-4bc7-9fab-867c7feb019c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['DaniekaMarch 2020This was a great place lots of space and great view of mountains and city, figured out how to allow air in by opening up the windows, I wish I had more time to enjoy the space, hope to visit again real soon**', '**VanessaMarch 2020Great place, exceeded my expectations. This was our last stay on our honeymoon and it was so nice to get a beautiful view of parts of the city as well as quiet neighbors and respectful staff at the door. \n\nCristian had an extensive book with things to do and tips on travel in CR. This could have been more helpful if we had stayed here first instead of last to take advantage of what he had to say.\n\nThe tv picture quality isn’t great, but I think most people don’t care about the tv while on vacation. \n\nEverything was cute and accessible in the apartment', ' not walking distance to a great many things so keep that in mind. \n\nThanks for hosting!Great place, exceeded my expectations. This was our last stay on our honeymoon and it was so nice to get a beautiful view of parts of the city as well as quiet neighbors and respec… read more**', '**C. AnthonyMarch 2020Excellent venue and perfect location**', '**AmandaMarch 2020Great location, very safe. We had the pool to ourselves. Fabulous views, spent all week and was very comfortable.  There are sugar ants, not just here but a couple places we stayed.  I just recommend keeping all food in fridge. Would come again!**', '**KeithMarch 2020Cristian’s place was great! The apartment was very clean and offered a beautiful view of the San Jose. The location was close to many markets and restaurants. It is roughly an hour and half taxi ride to Jaco beach. All in all it was a great stay!**', '**SuhaibFebruary 2020Had a wonderful time at this place. Amazing views in a good neighborhood. The building was very secure which was reassuring. The place is very modern and for the price well worth it. Christian the host was an effective communicator. \n\nI would recommend this spot to anyone staying in San Jose.**', '**']",within an hour,100,"['English', ' Español']"
Rio de Janeiro,Vista Mar total.Vista Cristo parcial. ,Copacabana,1,0,0,0,0,1,0,0,1,Entire apartment,Copacabana,2.0,Studio,1.0,1,35.0,4.98,39,55.0,http://airbnb.com/rooms/21093473?location=Rio%20de%20Janeiro%2C%20Brazili%C3%AB&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=367570a0-d493-4886-9cfa-690aba786b97,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,"['Normand AnthonyFebruary 2020Carmen’s place is conveniently located a walk from the beach. There is a supermarket downstairs as well as an bank. She is very sweet and made sure to check in with me from time to time via text. I highly recommend her place.**', '**AsifSeptember 2019central location and a great host!**', '**AsifSeptember 2019Everything is perfect apartment is clean location is the best and Carmam is an incredible host**', '**AsifApril 2019The apt  was very clean and the location is very central.  Very responsive and friendly host. I will definitely be staying here again. Thanks carmam!**', '**JordanNovember 2018Great apartment with an excellent view of Copacabana.  One block from the beach.  Great value option for one person or a couple looking to stay near the beach.**', '**BenJuly 2018Responsive host, incredible view, great location, and very clear. Zero complaints!**', '**']",Unknown,Unknown,"['Italiano', ' Português', ' Español']"
Santiago,"Las Condes, moderno, amplio, Metro Los Dominicos ",Santiago de Chile,0,1,0,1,0,1,0,0,1,Entire apartment,Santiago de Chile,3.0,1,1.0,1.5,43.0,4.64,43,14.0,http://airbnb.com/rooms/41296652?location=Santiago%2C%20Chili&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=80da7c13-8841-4e33-8e09-75c4871acb6d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[''],Unknown,Unknown,['Unknown']
Kinshasa,"Appartements et chambres chic , propre et neuf ",Kinshasa,0,0,0,0,0,0,0,0,0,Private room,Kinshasa,2.0,5,5.0,3,86.0,5.0,86,3.0,http://airbnb.com/rooms/18271337?location=Kinshasa%2C%20R%C3%A9publique%20d%C3%A9mocratique%20du%20Congo&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=4df2a9cf-c47e-461c-97b8-836009cf81d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[''],Unknown,Unknown,['Unknown']
London,Double Room in Kilburn 15 Mins to City London 1A1 ,Greater London,0,0,0,0,0,1,0,1,1,Private room,LB of Brent,2.0,Studio,1.0,1,33.0,4.37,50,177.0,http://airbnb.com/rooms/24059136?location=London%2C%20Verenigd%20Koninkrijk&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=8a008b70-8daf-42a3-a862-3c9b30ceac68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[''],Unknown,Unknown,['Unknown']
San Francisco,Top Quality Two Bedroom Home Near San Francisco ,Albany,0,0,0,0,0,1,0,0,1,Entire house,Albany,4.0,2,2.0,1,170.0,4.97,170,95.0,http://airbnb.com/rooms/27065851?location=San%20Francisco%2C%20Californi%C3%AB%2C%20Verenigde%20Staten&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=1825ecc9-4713-4a07-a8de-59f08addac37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,3,1,0,1,0,[''],within an hour,100,['Unknown']
Cape Town,Live the High Life@The Legacy! ,Cape Town,0,1,0,0,0,1,1,0,1,Entire apartment,Cape Town,2.0,1,1.0,1,39.0,4.8,56,159.0,http://airbnb.com/rooms/2639458?location=Cape%20Town%2C%20West-Kaap%2C%20Zuid-Afrika&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=0fa5a832-c935-4deb-b062-ce0f1f7744b3,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,3,1,0,1,0,"['TrevorMarch 2020Great place in a safe, nice, and convenient place. The place has stylish touches to make it seem like home. Comes with pool towels and essentials for the kitchen and cooking, even for short term stays. Pool and rooftop are great to hang out at, just be prepared that the pool is a little cold. If staying for a long time, maybe bring your own Roku or cord for computer to hook up your own Netflix. Graham was even flexible to help facilitate early check in**', '**TigraFebruary 2020Graham so graciously hosted my friend and was very flexible.**', '**StacyJanuary 2020Great location in Green Point. Easy to find, safe parking, and good amenities. Really enjoyed the roof top terrace/pool area.**', '**StacyJanuary 2020Great location in GreenPoint. Clean and nice amenities, safe parking and enjoyed the roof top terrace/pool area.**', '**JennOctober 2019Graham’s place is in a perfect location and he is very responsive and friendly. His condo is stocked with everything you could need. We watched the sunset from the rooftop deck with a bottle of wine, walked along the water, among many other things during our stay in Cape Town. Security desk was also very friendly! We loved grabbing coffee and breakfast at Jason’s Bakery down the street, and do not miss Giovanni’s for coffee and an unbelievable sandwich. We highly recommend Graham’s place!**', '**TrinityAugust 2019This place was exactly what’s expected & felt like home away from home!**', '**']",within an hour,94,['Unknown']
Charlotte,Chantilly Hideaway ,Charlotte,1,0,0,0,0,1,0,0,1,Tiny house,Charlotte,2.0,Studio,0.0,1,82.0,4.89,92,54.0,http://airbnb.com/rooms/33965471?location=Charlotte%2C%20NC%2C%20United%20States&adults=1&check_in=2020-08-01&check_out=2020-08-08&previous_page_section_name=1000&federated_search_id=3a2c9688-18c7-4837-84f1-dd6da05a56c4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,"['DiegoJune 2020Beautiful space with lots of light in a neighborhood that is really quiet, yet very close to everything in central Charlotte. Highly recommended!**', '**RyanJune 2020Beautiful space! Filled every need for my weekend trip. Couldn’t thank Beverly enough for being such a gracious host.**', ""**AshleyJune 2020Beverly's place is perfect! It's on a lovely tree"", ""lined street close to many Plaza Midwood restaurants, Harris Teeter, etc. (all within walking distance). Note there is some noise from the highway but for those who like/need background noise, it shouldn't be an issue. She was very sweet and personable when I ran into her as I was checking out. I'd recommend this place without hesitation.**"", '**DiegoJune 2020Lovely space in a beautiful neighborhood just a short walk from restaurants, coffee shops, and other stuff to explore in the area. Highly recommended, thanks again!!**', '**LisaJune 2020Perfect neighborhood with everything you need close by. Beautiful studio and kept very clean. Host was wonderful. Would definitely stay again when I return to Charlotte.**', '**TedFebruary 2020Great location for visiting Charlotte. Walking distance to several restaurants and bars**', '**']",within an hour,100,['Unknown']
